Data Sessão,PL,Autor,Status,Votos,Presentes,Fonte
2025-08-28,251/2025,João Miguel,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Sandrinho",video-NvLFdoGpLKk-ytranscript.txt
2025-08-28,252/2025,Luciano Santos,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Sandrinho",video-NvLFdoGpLKk-ytranscript.txt
2025-09-20,252/2025,Luciano Santos,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-0XcCRwhO6Lw-ytranscript.txt
2025-08-28,253/2025,Sandrinho,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Sandrinho",video-NvLFdoGpLKk-ytranscript.txt
2024-02-23,259/2025,Luciano Santos,Encaminhado para Comissão,N/A,"Amanda, André do Gás, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-JPVf0YsX_6A-ytranscript.txt
2025-08-26,26/2025,Vitinho Nogueira,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-xdk6i0-UGno-ytranscript.txt
2024-02-23,262/2025,Rangel,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-JPVf0YsX_6A-ytranscript.txt
2024-02-23,265/2025,Maurício Lopes,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-JPVf0YsX_6A-ytranscript.txt
2025-08-26,267/2025,Caio Perfister,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-xdk6i0-UGno-ytranscript.txt
2025-09-20,268/2025,João,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-0XcCRwhO6Lw-ytranscript.txt
2025-08-21,272/2025,Vitinho,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,276/2025,Sandrinho,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Totó",video-hw1VWiNyI-0-ytranscript.txt
2025-09-23,278/2025,Caio,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-LjyElyEboxw-ytranscript.txt
2025-09-23,278/2025,Caio,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-MIMAhGI3G7M-ytranscript.txt
2025-09-23,279/2022,Calé,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-LjyElyEboxw-ytranscript.txt
2025-09-23,279/2025,Calé,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-MIMAhGI3G7M-ytranscript.txt
2025-09-23,280/2025,Paulinho Nogueira,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-LjyElyEboxw-ytranscript.txt
