Data Sessão,PL,Autor,Ementa,Status,Votos,Presentes,Fonte,Link YouTube
2025-04-02,057/2025,Luciano Santos,Dispõe sobre o,Não identificado,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
2025-04-14,057/2025,Luciano Santos,Dispõe sobre o,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
2025-04-30,057/2025,Luciano Santos,Dispõe sobre d,Não identificado,N/A,"Amanda, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-lRcIU8VZdIM-ytranscript.txt,https://www.youtube.com/watch?v=lRcIU8VZdIM
2025-04-29,058/2025,Paulinho Nogueira,Dispõe sobre c,Em Discussão,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-sMDaK1_7-QM-ytranscript.txt,https://www.youtube.com/watch?v=sMDaK1_7-QM
2025-04-30,059/2022,Vitinho Nogueira,Dispõe sobre d,Não identificado,N/A,"Amanda, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-lRcIU8VZdIM-ytranscript.txt,https://www.youtube.com/watch?v=lRcIU8VZdIM
2025-04-08,059/2025,Paulinho Nogueira,Dispõe sobre o,Em Discussão,N/A,"Amanda, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-faVOBjdAiDs-ytranscript.txt,https://www.youtube.com/watch?v=faVOBjdAiDs
2025-03-08,06/2025,Ico Faraco à Comissão de Legislação,Dispõe sobre d,Não identificado,N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-KOFfnMQI7aA-ytranscript.txt,https://www.youtube.com/watch?v=KOFfnMQI7aA
2025-04-03,06/2025,Luciano Santos,Dispõe sobre c,Não identificado,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-_7wAlHRBLSA-ytranscript.txt,https://www.youtube.com/watch?v=_7wAlHRBLSA
2025-04-02,060/2025,Vitinho Nogueira,Dispõe sobre o,Não identificado,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
2025-04-02,063/2025,Dudo Resgate,Dispõe sobre a,Aprovado (Votação Simbólica),N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
2025-04-29,063/2025,Dudu do Resgate,Dispõe sobre c,Em Discussão,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-sMDaK1_7-QM-ytranscript.txt,https://www.youtube.com/watch?v=sMDaK1_7-QM
2025-04-30,064/2025,Luciano Santos,Dispõe sobre a,Não identificado,N/A,"Amanda, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-lRcIU8VZdIM-ytranscript.txt,https://www.youtube.com/watch?v=lRcIU8VZdIM
2025-04-08,065/2025,Luciano Santos,Dispõe sobre a,Não identificado,N/A,"Amanda, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-faVOBjdAiDs-ytranscript.txt,https://www.youtube.com/watch?v=faVOBjdAiDs
2025-04-14,065/2025,Luciano Santos,Dispõe sobre a,Não identificado,N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
